CODE;VERSION;DESCRIPTION;STATUS;GROUP_CODE
"EC000001";"5";"Busbar terminal";"Published";"EG000017"
"EC000003";"8";"Residual current circuit breaker (RCCB)";"Published";"EG000020"
"EC000005";"7";"Cable end sleeve";"Published";"EG000047"
"EC000006";"7";"Cover plate for installation units";"Published";"EG000005"
"EC000007";"8";"Cover frame for domestic switching devices";"Published";"EG000013"
"EC000008";"5";"Tap off unit for busbar trunk";"Published";"EG000015"
"EC000009";"6";"Hammer set anchor";"Published";"EG000049"
"EC000010";"8";"Combination of contactors";"Published";"EG000017"
"EC000011";"8";"Control element/cover plate for domestic switching devices";"Published";"EG000013"
"EC000012";"7";"Slotted cable trunking system";"Published";"EG000007"
"EC000013";"6";"Base plate for flush mounted installation";"Published";"EG000013"
"EC000014";"8";"Incandescent lamp tube-shaped";"Published";"EG000028"
"EC000016";"7";"Explosion proof CEE socket outlet";"Published";"EG000014"
"EC000017";"7";"Explosion proof CEE-plug/-coupler";"Published";"EG000014"
"EC000018";"8";"Insert/cover for communication technology";"Published";"EG000013"
"EC000019";"7";"Coaxial cable";"Published";"EG000001"
"EC000020";"8";"Combination switch/wall socket outlet";"Published";"EG000013"
"EC000022";"6";"Bracket for cable support system";"Published";"EG000004"
"EC000023";"7";"Cover for wall duct/Installation column";"Published";"EG000006"
"EC000024";"7";"Installation box for underfloor-installation";"Published";"EG000005"
"EC000025";"8";"Dimmer";"Published";"EG000013"
"EC000026";"5";"Low Voltage HRC solid link";"Published";"EG000020"
"EC000028";"8";"Threaded rod";"Published";"EG000049"
"EC000029";"8";"Push-switch button";"Published";"EG000013"
"EC000030";"8";"End switch";"Published";"EG000026"
"EC000032";"8";"Plug for cable screw gland";"Published";"EG000009"
"EC000033";"6";"Installation strap";"Published";"EG000049"
"EC000034";"8";"Fibre optic cable";"Published";"EG000001"
"EC000036";"6";"Miniature fuse holder";"Published";"EG000020"
"EC000037";"8";"Halogen metal halide lamp without reflector";"Published";"EG000028"
"EC000038";"7";"High voltage halogen lamp";"Published";"EG000028"
"EC000040";"6";"Cavity fixing";"Published";"EG000049"
"EC000041";"7";"Auxiliary contact block";"Published";"EG000017"
"EC000042";"8";"Miniature circuit breaker (MCB)";"Published";"EG000020"
"EC000044";"8";"Venetian blind switch/-push button";"Published";"EG000013"
"EC000045";"8";"Candle-shaped incandescent lamp";"Published";"EG000028"
"EC000046";"7";"Cable tie";"Published";"EG000049"
"EC000047";"7";"Cable tray/wide span cable tray";"Published";"EG000004"
"EC000048";"7";"Anchor bolt";"Published";"EG000049"
"EC000050";"7";"Chain";"Published";"EG000049"
"EC000051";"8";"Sphere-shaped incandescent lamp";"Published";"EG000028"
"EC000052";"7";"Coupler for plinth skirting duct";"Published";"EG000006"
"EC000054";"7";"Incandescent lamp with ring head";"Published";"EG000028"
"EC000055";"7";"Knife blade fuse";"Published";"EG000020"
"EC000056";"7";"Mercury vapour lamp";"Published";"EG000028"
"EC000058";"7";"Empty cabinet";"Published";"EG000023"
"EC000059";"8";"Mini/Maxi trunking";"Published";"EG000006"
"EC000060";"5";"Hood for light signalling unit";"Published";"EG000013"
"EC000061";"8";"Light pole";"Published";"EG000030"
"EC000062";"8";"Luminaire for streets and places";"Published";"EG000027"
"EC000064";"8";"Information light signal for domestic switching devices";"Published";"EG000013"
"EC000065";"6";"Loudspeaker cable";"Published";"EG000001"
"EC000066";"7";"Power contactor, AC switching";"Published";"EG000017"
"EC000067";"5";"Low Voltage HRC fuse base";"Published";"EG000020"
"EC000068";"6";"Meter board";"Published";"EG000022"
"EC000069";"8";"Multimeter";"Published";"EG000044"
"EC000070";"5";"Microphone";"Published";"EG000041"
"EC000071";"6";"Mounting system for busbar trunk";"Published";"EG000015"
"EC000073";"5";"Junction box for wall duct";"Published";"EG000006"
"EC000074";"8";"Motor protection circuit-breaker";"Published";"EG000017"
"EC000075";"7";"Plug in (night) light";"Published";"EG000027"
"EC000078";"8";"Standard-shaped incandescent lamp";"Published";"EG000028"
"EC000079";"7";"Appliance box for skirting duct";"Published";"EG000006"
"EC000080";"8";"Surface mounted housing for flush mounted switching device";"Published";"EG000013"
"EC000082";"5";"Ceiling profile for cable support system";"Published";"EG000004"
"EC000083";"5";"Transition cover section for installation duct";"Published";"EG000006"
"EC000084";"5";"Sleeve for compacted conductor";"Published";"EG000047"
"EC000085";"5";"D-system screw adapter";"Published";"EG000020"
"EC000086";"5";"Perilex socket outlet";"Published";"EG000014"
"EC000087";"8";"Compact fluorescent lamp without integrated ballast";"Published";"EG000028"
"EC000088";"7";"Skirting duct complete";"Published";"EG000006"
"EC000089";"6";"All-purpose plug";"Published";"EG000049"
"EC000090";"6";"Potential equalization socket outlet";"Published";"EG000013"
"EC000091";"7";"Busbar trunk unit";"Published";"EG000015"
"EC000092";"6";"Screw hook";"Published";"EG000049"
"EC000093";"5";"D-system screw cap";"Published";"EG000020"
"EC000094";"5";"D-system fuse base";"Published";"EG000020"
"EC000096";"6";"Slide nut";"Published";"EG000049"
"EC000097";"6";"Hammerfix";"Published";"EG000049"
"EC000098";"7";"Washer";"Published";"EG000049"
"EC000099";"6";"D-system fuse link";"Published";"EG000020"
"EC000100";"7";"Fuse enclosure";"Published";"EG000015"
"EC000101";"8";"Light-track";"Published";"EG000030"
"EC000102";"8";"Incandescent lamp with reflector";"Published";"EG000028"
"EC000103";"7";"Nail";"Published";"EG000049"
"EC000105";"5";"Cordless telephone";"Published";"EG000038"
"EC000106";"6";"Thermal overload relay";"Published";"EG000017"
"EC000107";"8";"Timer for domestic switching devices";"Published";"EG000013"
"EC000108";"7";"Fluorescent lamp";"Published";"EG000028"
"EC000109";"8";"Batten luminaire";"Published";"EG000027"
"EC000112";"7";"Toggle fixing";"Published";"EG000049"
"EC000113";"6";"Junction box for installation duct";"Published";"EG000006"
"EC000114";"5";"Junction box for underfloor installation";"Published";"EG000005"
"EC000115";"5";"Plaster compensation ring";"Published";"EG000048"
"EC000117";"6";"HiFi Amplifier";"Published";"EG000041"
"EC000118";"5";"Underfloor installation duct screed-covered";"Published";"EG000005"
"EC000119";"6";"Mounting box";"Published";"EG000005"
"EC000120";"5";"On-floor duct base";"Published";"EG000005"
"EC000121";"7";"Surface tank empty";"Published";"EG000005"
"EC000122";"7";"Feed unit for busbar trunk";"Published";"EG000015"
"EC000125";"8";"Socket outlet";"Published";"EG000013"
"EC000127";"8";"Saddle clamp (pipe/cable)";"Published";"EG000010"
"EC000128";"8";"Adhesive tape";"Published";"EG000047"
"EC000130";"7";"Signal horn";"Published";"EG000035"
"EC000131";"8";"Bell";"Published";"EG000035"
"EC000132";"7";"Doorbell";"Published";"EG000036"
"EC000133";"8";"Movement sensor complete";"Published";"EG000013"
"EC000134";"4";"Low voltage switch for doorbell";"Published";"EG000036"
"EC000135";"6";"Hospital call button (hanging)";"Published";"EG000036"
"EC000136";"4";"Lamp holder for doorbell";"Published";"EG000036"
"EC000137";"6";"Motor siren";"Published";"EG000035"
"EC000138";"8";"Sensor element for movement sensor";"Published";"EG000013"
"EC000140";"7";"CEE plug";"Published";"EG000014"
"EC000141";"7";"Labelling material for domestic switching devices";"Published";"EG000013"
"EC000142";"6";"Cable shears";"Published";"EG000052"
"EC000143";"7";"Folding rule";"Published";"EG000050"
"EC000144";"7";"Crosshead screwdriver";"Published";"EG000050"
"EC000145";"6";"Level";"Published";"EG000050"
"EC000146";"7";"Chisel";"Published";"EG000050"
"EC000148";"6";"Pipe cutter";"Published";"EG000050"
"EC000149";"5";"Tool set";"Published";"EG000050"
"EC000150";"6";"Brush";"Published";"EG000050"
"EC000151";"5";"Chalk line device";"Published";"EG000050"
"EC000152";"7";"Putty knife/spatula";"Published";"EG000050"
"EC000153";"5";"Gypsum container";"Published";"EG000050"
"EC000154";"5";"Fuse screw key";"Published";"EG000050"
"EC000155";"7";"Knife";"Published";"EG000052"
"EC000156";"8";"Hole punch";"Published";"EG000050"
"EC000157";"7";"Slide gauge";"Published";"EG000050"
"EC000158";"7";"Screwdriver for slot head screws";"Published";"EG000050"
