ID;CLASS_CODE;FEATURE_CODE;UNIT_CODE;SORT_ORDER
"1";"EC000001";"EF007220";"EU570448";"1"
"2";"EC000001";"EF007219";"EU570448";"2"
"3";"EC000001";"EF000073";NULL;"3"
"4";"EC000001";"EF007092";"EU570448";"4"
"5";"EC000001";"EF004969";"EU570126";"5"
"6";"EC000001";"EF007356";"EU570459";"6"
"7";"EC000001";"EF007258";NULL;"7"
"8";"EC000001";"EF007260";NULL;"8"
"9";"EC000001";"EF007242";NULL;"9"
"10";"EC000003";"EF001391";NULL;"1"
"11";"EC000003";"EF000228";"EU570079";"2"
"12";"EC000003";"EF000227";"EU570459";"3"
"13";"EC000003";"EF002358";"EU570459";"4"
"14";"EC000003";"EF001366";"EU570079";"5"
"15";"EC000003";"EF011980";"EU570193";"6"
"16";"EC000003";"EF000003";NULL;"7"
"17";"EC000003";"EF002560";NULL;"8"
"18";"EC000003";"EF002561";NULL;"9"
"19";"EC000003";"EF003604";NULL;"10"
"20";"EC000003";"EF002562";"EU570170";"11"
"21";"EC000003";"EF002564";"EU570170";"12"
"22";"EC000003";"EF000187";NULL;"13"
"23";"EC000003";"EF007385";NULL;"14"
"24";"EC000003";"EF005455";NULL;"15"
"25";"EC000003";"EF008148";NULL;"16"
"26";"EC000003";"EF005474";NULL;"17"
"27";"EC000003";"EF002950";NULL;"18"
"28";"EC000003";"EF000218";"EU570448";"19"
"29";"EC000003";"EF007515";"EU570073";"20"
"30";"EC000003";"EF002570";NULL;"21"
"31";"EC000003";"EF007343";"EU570126";"22"
"32";"EC000003";"EF007337";"EU570126";"23"
"33";"EC000003";"EF004663";NULL;"24"
"34";"EC000005";"EF000767";NULL;"1"
"35";"EC000005";"EF001335";"EU570126";"2"
"36";"EC000005";"EF000014";"EU570448";"3"
"37";"EC000005";"EF000019";NULL;"4"
"38";"EC000005";"EF008118";NULL;"5"
"39";"EC000005";"EF000025";NULL;"6"
"40";"EC000005";"EF000007";NULL;"7"
"41";"EC000005";"EF002169";NULL;"8"
"42";"EC000005";"EF000139";NULL;"9"
"43";"EC000005";"EF001713";NULL;"10"
"44";"EC000005";"EF007954";NULL;"11"
"45";"EC000005";"EF001714";NULL;"12"
"46";"EC000005";"EF011789";NULL;"13"
"47";"EC000006";"EF007902";"EU570448";"1"
"48";"EC000006";"EF000041";NULL;"2"
"49";"EC000006";"EF001118";NULL;"3"
"50";"EC000006";"EF001119";NULL;"4"
"51";"EC000006";"EF001120";NULL;"5"
"52";"EC000006";"EF001121";NULL;"6"
"53";"EC000006";"EF005598";NULL;"7"
"54";"EC000006";"EF006412";NULL;"8"
"55";"EC000006";"EF006413";NULL;"9"
"56";"EC000006";"EF001474";NULL;"10"
"57";"EC000006";"EF002442";NULL;"11"
"58";"EC000006";"EF005651";NULL;"12"
"59";"EC000006";"EF005040";NULL;"13"
"60";"EC000006";"EF004523";NULL;"14"
"61";"EC000006";"EF002169";NULL;"15"
"62";"EC000006";"EF000007";NULL;"16"
"63";"EC000007";"EF000074";NULL;"1"
"64";"EC000007";"EF003824";NULL;"2"
"65";"EC000007";"EF008858";NULL;"3"
"66";"EC000007";"EF008859";NULL;"4"
"67";"EC000007";"EF009571";NULL;"5"
"68";"EC000007";"EF009572";NULL;"6"
"69";"EC000007";"EF012040";NULL;"7"
"70";"EC000007";"EF012039";NULL;"8"
"71";"EC000007";"EF007517";NULL;"9"
"72";"EC000007";"EF005864";NULL;"10"
"73";"EC000007";"EF006572";NULL;"11"
"74";"EC000007";"EF006745";NULL;"12"
"75";"EC000007";"EF001035";NULL;"13"
"76";"EC000007";"EF002169";NULL;"14"
"77";"EC000007";"EF001257";NULL;"15"
"78";"EC000007";"EF000025";NULL;"16"
"79";"EC000007";"EF023790";NULL;"17"
"80";"EC000007";"EF000139";NULL;"18"
"81";"EC000007";"EF006569";NULL;"19"
"82";"EC000007";"EF000007";NULL;"20"
"83";"EC000007";"EF003882";NULL;"21"
"84";"EC000007";"EF006243";NULL;"22"
"85";"EC000007";"EF000117";NULL;"23"
"86";"EC000007";"EF005474";NULL;"24"
"87";"EC000007";"EF004293";NULL;"25"
"88";"EC000007";"EF002442";NULL;"26"
"89";"EC000007";"EF000008";"EU570448";"27"
"90";"EC000007";"EF000040";"EU570448";"28"
"91";"EC000007";"EF000049";"EU570448";"29"
"92";"EC000007";"EF000846";"EU570448";"30"
"93";"EC000007";"EF000332";"EU570448";"31"
"94";"EC000007";"EF009277";"EU570448";"32"
"95";"EC000008";"EF001148";NULL;"1"
"96";"EC000008";"EF001391";NULL;"2"
"97";"EC000008";"EF007684";"EU570459";"3"
"98";"EC000008";"EF007065";"EU570079";"4"
"99";"EC000008";"EF001149";NULL;"5"
"100";"EC000008";"EF000378";NULL;"6"
