CODE;TYPE;DESCRIPTION
"EF000001";"Numeric";"Nominal current"
"EF000002";"Numeric";"Nominal voltage"
"EF000003";"Alphanumeric";"Mounting method"
"EF000004";"Alphanumeric";"Protection class"
"EF000005";"Alphanumeric";"Assembly arrangement"
"EF000006";"Alphanumeric";"Method of operation"
"EF000007";"Alphanumeric";"Colour"
"EF000008";"Numeric";"Width"
"EF000010";"Alphanumeric";"Model"
"EF000012";"Alphanumeric";"Head form"
"EF000013";"Alphanumeric";"Screwing system"
"EF000014";"Numeric";"Sleeve length"
"EF000015";"Numeric";"Outer diameter"
"EF000016";"Numeric";"Suitable for max. cable diameter"
"EF000017";"Logical";"Watertight"
"EF000018";"Numeric";"Core cross section"
"EF000019";"Logical";"Insulated"
"EF000022";"Logical";"Oil resistant"
"EF000023";"Logical";"Heat-resistant"
"EF000024";"Logical";"UV resistant"
"EF000025";"Logical";"Halogen free"
"EF000026";"Numeric";"Duct width"
"EF000027";"Numeric";"Rung distance"
"EF000028";"Alphanumeric";"Principle of operation"
"EF000029";"Alphanumeric";"Contacts"
"EF000030";"Alphanumeric";"Function"
"EF000033";"Alphanumeric";"Switch"
"EF000034";"Numeric";"Frequency"
"EF000035";"Numeric";"Lamp power"
"EF000036";"Alphanumeric";"Reflector"
"EF000037";"Alphanumeric";"Circuit"
"EF000038";"Alphanumeric";"Screening"
"EF000039";"Logical";"Suitable for through-wiring"
"EF000040";"Numeric";"Height"
"EF000041";"Alphanumeric";"Application"
"EF000042";"Alphanumeric";"Socket"
"EF000043";"Numeric";"Number of loudspeaker outputs"
"EF000046";"Logical";"Wireless"
"EF000047";"Numeric";"Amperage"
"EF000048";"Alphanumeric";"Lamp holder"
"EF000049";"Numeric";"Depth"
"EF000051";"Alphanumeric";"Shape"
"EF000054";"Alphanumeric";"Number of poles"
"EF000055";"Alphanumeric";"Cover"
"EF000057";"Alphanumeric";"Main switch"
"EF000058";"Numeric";"Max. cable cross section"
"EF000060";"Numeric";"Nominal cross section conductor"
"EF000061";"Alphanumeric";"Material core insulation"
"EF000062";"Logical";"Rotatable"
