CODE;DESCRIPTION
"EG000001";"Cables"
"EG000002";"Installation pipes/cable protection tubes"
"EG000003";"Protective hose systems"
"EG000004";"Cable carrying systems"
"EG000005";"Sub-floor systems"
"EG000006";"Installation ducts for wall and ceiling"
"EG000007";"Slotted Cable trunking system"
"EG000008";"Installation column systems"
"EG000009";"Cable and wire entry systems"
"EG000010";"Installation material for cables and tubes"
"EG000011";"Cabinet enclosures"
"EG000012";"Terminal blocks"
"EG000013";"Domestic switching devices"
"EG000014";"Industrial socket/plug applications"
"EG000015";"Energy distribution systems"
"EG000017";"Low-voltage industrial components"
"EG000019";"Relays"
"EG000020";"Circuit breakers and fuses"
"EG000021";"Earthing, lightning and surge protection"
"EG000022";"Meter panels"
"EG000023";"Distribution boards"
"EG000024";"Programmable logic controllers PLC"
"EG000026";"Sensors"
"EG000027";"Luminaires"
"EG000028";"Lamps"
"EG000029";"Light control"
"EG000030";"Accessories for lighting"
"EG000032";"Installation bus systems"
"EG000033";"Antenna and satellite technique"
"EG000034";"Gate operators, pumps and ventilators"
"EG000035";"Optical and acoustic signalling equipment"
"EG000036";"Communication technique"
"EG000037";"Data and telecommunication"
"EG000038";"Telecommunication equipment/office devices"
"EG000039";"Large domestic appliances"
"EG000040";"Small domestic appliances"
"EG000041";"Consumer electronics"
"EG000042";"Hot water appliances"
"EG000043";"Residential heating"
"EG000044";"Measuring instruments and tester"
"EG000045";"Meters"
"EG000046";"Protection material and work clothes"
"EG000047";"Installation, isolation and connection material"
"EG000048";"Connection devices"
"EG000049";"Fasteners"
"EG000050";"Hand tools"
"EG000051";"Power tools"
"EG000052";"Tools (Press, cut and isolate)"
"EG000053";"Batteries, chargers and power cords"
"EG000054";"Alarm installations, emergency call and signalling"
"EG000055";"Renewable energy"
"EG000056";"Fire protection systems"
"EG000057";"Pluggable building installation systems"
"EG000058";"Connectors"
"EG000059";"Safety devices"
"EG000060";"Auxiliary material"
"EG000061";"Soldering and welding equipment"
"EG000062";"Devices for distribution board-/surface mounting"
"EG010110";"Marking and measuring tools"
"EG010140";"Cutting-off tools"
"EG010180";"Hoses gas/air"
"EG010210";"Consumable tools"
"EG010220";"Auxiliary tools"
"EG010320";"Lifting equipment"
"EG010330";"Work equipment"
"EG010340";"Accommodation/storage space"
"EG010400";"Test equipment"
"EG012000";"Products other sectors"
"EG013000";"Building materials"
"EG014000";"Maritime products"
"EG015110";"Gutters/tanks"
"EG015120";"Storage tanks/vessels"
"EG015130";"Drains"
"EG015140";"Filters/separators"
"EG015170";"Air treatment"
"EG015210";"Boilers and heaters"
"EG015220";"Heat exchangers"
"EG015230";"Cooling systems"
"EG015240";"Air inlet/extraction units"
"EG015260";"Pressure increase/decrease"
"EG015280";"Spare parts for boilers and heaters"
"EG015400";"Distributors/collectors"
"EG015410";"Distributors"
"EG015510";"Hoses and cabinets"
"EG015520";"Hose couplings"
"EG015530";"Pipes"
"EG015540";"Fittings, flanges and connectors"
"EG015550";"Duct and pipe for flue gas and air"
"EG015560";"Accessories for flue gases and air"
"EG015570";"Compensators and expansion pieces"
"EG015580";"Covers, hatches and hoods"
"EG015610";"Valves/taps/controls"
"EG015620";"Spare parts for fittings"
"EG015630";"Air (control) valves and fire valves"
"EG015640";"Accessories for valves and cranes"
