CODE;DESCRIPTION;ABBREVIATION
"EU000002";"Hecto Pascal";"hPa"
"EU000003";"Kilo-blindpower";"kvar"
"EU000004";"Lumen/Watt";"lm/W"
"EU000006";"Dots per Inch";"DPI"
"EU000013";"Baud";"Bd"
"EU000015";"Decibel microVolt";"dBµV"
"EU000018";"Kilovolt-Ampere";"kVA"
"EU000020";"Watt per metre";"W/m"
"EU000022";"Voltampere";"VA"
"EU000023";"Revolutions per minute";"Rpm"
"EU000025";"Milliampere hour";"mAh"
"EU000032";"Micro Henry";"µH"
"EU000038";"Litre per hour";"l/h"
"EU000041";"kiloByte (1000 Byte)";"kByte"
"EU000042";"Megabyte";"MB"
"EU000043";"kiloBit/second";"kBit/s"
"EU000045";"Litre per minute";"l/min"
"EU000050";"Ampere hour";"Ah"
"EU000051";"Inch";"inch"
"EU000052";"Per minute";"1/min"
"EU000053";"Kilo-Ohm";"kOhm"
"EU000054";"Mikro-Farad";"µF"
"EU000055";"Fluorescent lamp rated current";"AX"
"EU000056";"Nanometre";"nm"
"EU000057";"Pulse constant";"Imp/kWh (kvarh)"
"EU000059";"Watt peak (Wh/d)";"Wp"
"EU570006";"Kilogram per cubic metre";"kg/m³"
"EU570011";"Joule";"J"
"EU570020";"Newton";"N"
"EU570028";"Hertz";"Hz"
"EU570036";"Metre";"m"
"EU570039";"Kilogram";"kg"
"EU570054";"Watt";"W"
"EU570056";"Pressure";"bar"
"EU570073";"Degrees celsius";"°C"
"EU570076";"Kelvin";"K"
"EU570079";"Volt";"V"
"EU570090";"Cubic metre";"m³"
"EU570097";"Square metre";"m²"
"EU570103";"Second";"s"
"EU570104";"Ohm";"Ohm"
"EU570106";"Lux";"lx"
"EU570108";"Lumen";"lm"
"EU570109";"Candela";"cd"
"EU570121";"Square centimetre";"cm²"
"EU570126";"Square millimetre";"mm²"
"EU570133";"Watt / m² Kelvin";"W/(m².K)"
"EU570144";"Gram per cubic centimetre";"g/cm³"
"EU570146";"Kilogram per cubic dm";"kg/dm³"
"EU570169";"Millisecond";"ms"
"EU570170";"kiloampere";"kA"
"EU570174";"Milliampere";"mA"
"EU570193";"Kilovolt";"kV"
"EU570199";"Milli-Ohm";"mOhm"
"EU570200";"Mega-Ohm";"MOhm"
"EU570223";"GigaHertz";"GHz"
"EU570224";"kiloHertz";"kHz"
"EU570225";"Megahertz";"MHz"
"EU570235";"Watt per square metre";"W/m²"
"EU570245";"Newtonmetre";"Nm"
"EU570254";"Kilogram/metre";"kg/m"
"EU570336";"Millibar";"mbar"
"EU570374";"Watt per meter Kelvin";"W/(m.K)"
"EU570376";"Metre per second";"m/s"
"EU570378";"Cubic centimetre";"cm³"
"EU570380";"Millilitre";"ml"
"EU570382";"Percentage";"%"
"EU570383";"Degrees";"°"
"EU570387";"Contacts per hour";"c/h"
"EU570388";"Contacts per minute";"c/min"
"EU570399";"Centimetre";"cm"
"EU570401";"centistokes";"cSt"
"EU570403";"Litre";"l"
"EU570408";"Gram";"g"
"EU570410";"Hour";"h"
"EU570413";"Kilogram per hour";"kg/h"
"EU570416";"Kilo Pascal";"kPa"
"EU570418";"Kilowatt";"kW"
"EU570419";"Kilowatt hour";"kWh"
"EU570420";"Pound (imperial)";"lb"
"EU570422";"Minute";"min"
"EU570428";"Pound-force per square inch";"psi (lbf/in²)"
"EU570438";"Metric ton";"t"
"EU570442";"parts per million";"ppm"
"EU570448";"Millimetre";"mm"
"EU570449";"Litre per second";"l/s"
"EU570451";"Cubic metre per hour";"m³/h"
"EU570459";"Ampere";"A"
"EU570480";"Decibel";"dB"
"EU570483";"c (contacts)";"c (contacts)"
"EU570492";"Pascal";"Pa"
"EU570499";"Micrometre";"µm"
"EU570502";"Bit";"Bit"
"EU570508";"Kilonewton";"kN"
"EU570515";"Millivolt";"mV"
"EU570542";"Watt per Kelvin";"W/K"
"EU570547";"Giga Joule per year";"GJ/year"
"EU570551";"Millimetre per metre Kelvin";"mm/(m.K)"
"EU570555";"Decibel A weighted";"dB(A)"
"EU570825";"Kilogram per 24 hours";"kg/24h"
"EU570931";"kW/(m³ per second)";"kW/(m³/s)"
"EU570942";"Beaufort";"Bft"
