CODE;DESCRIPTION
"EV000005";"Thread holding"
"EV000010";"Desoldering iron"
"EV000011";"Cartridge with dispense needle"
"EV000012";"Dial"
"EV000013";"RJ45 8(8)"
"EV000014";"RJ45 8(4)"
"EV000015";"RJ11 6(4)"
"EV000016";"Continuous"
"EV000017";"4-5"
"EV000021";"F3000"
"EV000027";"With rail"
"EV000028";"Universal"
"EV000030";"Inner lying"
"EV000031";"Spanned"
"EV000034";"Cover one-sided bevelled"
"EV000035";"Cover double-sided bevelled"
"EV000037";"Angular"
"EV000038";"Moulded hood"
"EV000042";"Structured"
"EV000063";"Centronics"
"EV000066";"NH00"
"EV000067";"1-pole"
"EV000069";"3"
"EV000070";"4"
"EV000072";"Aluminium"
"EV000073";"Asymmetric"
"EV000074";"B"
"EV000076";"B15d"
"EV000077";"B22d"
"EV000078";"Basic element"
"EV000079";"Concrete"
"EV000080";"Blue"
"EV000081";"Blind"
"EV000082";"Bronze"
"EV000083";"Brown"
"EV000084";"C"
"EV000085";"Capacitive"
"EV000086";"Complete"
"EV000087";"D01"
"EV000088";"D02"
"EV000089";"D03"
"EV000090";"Direct"
"EV000092";"Turn button"
"EV000093";"3-fold"
"EV000096";"E10"
"EV000097";"E14"
"EV000098";"E27"
"EV000099";"E40"
"EV000101";"Electronic"
"EV000103";"1-fold"
"EV000104";"Fa4"
"EV000106";"Flange"
"EV000107";"Flood"
"EV000108";"G12"
"EV000109";"G4"
"EV000110";"G53"
"EV000111";"Galvanized, yellow chromium plated"
"EV000112";"Anodised"
"EV000113";"Lacquered"
"EV000115";"Screwed"
"EV000116";"Closed"
"EV000117";"Cast iron"
"EV000118";"Plain"
"EV000119";"Gold"
"EV000120";"Green/yellow"
"EV000121";"GU5.3"
"EV000122";"GX16d"
"EV000123";"GX5.3"
"EV000124";"GY6.35"
"EV000125";"GZ4"
"EV000127";"Clear"
"EV000128";"Hollow wall"
"EV000130";"Horizontal and vertical"
"EV000131";"Wood"
"EV000132";"I-profile"
"EV000133";"Iron"
"EV000134";"Built-in"
"EV000135";"Inductive"
"EV000136";"Cable"
"EV000137";"Clamp"
"EV000138";"Copper"
"EV000139";"Plastic"
"EV000140";"Plastic-coated"
"EV000141";"L"
"EV000142";"Lamella"
"EV000143";"Light"
"EV000144";"Lead"
"EV000145";"Normally open contact"
"EV000146";"Matt"
"EV000147";"Mechanical"
"EV000148";"Multiple"
"EV000149";"Brass"
"EV000152";"Open"
"EV000153";"Ceiling bracket"
"EV000154";"Other"
"EV000155";"Parallel"
"EV000157";"Polyethylene (PE)"
"EV000158";"Pin"
"EV000159";"PG12"
"EV000160";"Steel plate"
"EV000161";"Countersunk head"
"EV000162";"Porcelain"
"EV000163";"Polyvinyl chloride (PVC)"
"EV000164";"Straight"
"EV000165";"Ring"
"EV000166";"Stainless steel"
"EV000167";"Round"
"EV000168";"R7s"
"EV000169";"Rubber"
"EV000170";"RX7s"
"EV000171";"RX7s-24"
"EV000172";"Switch"
"EV000173";"Screw"
"EV000174";"Light signalling unit"
"EV000175";"Key"
"EV000176";"Fast (F)"
"EV000177";"Mirror"
"EV000178";"Spot"
"EV000179";"Steel"
"EV000181";"Symmetric"
"EV000182";"Telephone"
"EV000183";"Time-lag (T)"
"EV000185";"Two-part"
"EV000186";"2-fold"
"EV000187";"Rigid"
"EV000188";"Breaker contact"
"EV000189";"Chromium-plated"
"EV000190";"Control light"
"EV000191";"Nickel-plated"
"EV000193";"Galvanized"
"EV000194";"Countersunk"
"EV000195";"Quadrangular"
"EV000196";"4-fold"
"EV000197";"Fork"
"EV000198";"Wall console"
"EV000199";"Duct installation"
"EV000200";"Rocker"
"EV000201";"Change-over contact"
"EV000202";"White"
"EV000203";"Hexagon"
"EV000204";"Wall bracket"
"EV000205";"Silver"
"EV000206";"Black"
"EV000207";"Colour"
"EV000208";"Ethernet"
"EV000209";"DIN"
"EV000210";"Fixed"
"EV000211";"IEC"
"EV000212";"Twinax"
"EV000213";"Centre"
"EV000214";"Cross (X)"
